Date,AGG,AOM,AQMIX,BIL,DBC,IWN,SPY,VDE,VT,^VIX
2010-01-05,68.78965759277344,20.227712631225586,5.495386600494385,77.81480407714844,22.08324432373047,44.174407958984375,86.2541732788086,57.38334655761719,31.678388595581055,19.350000381469727
2010-01-06,68.74994659423828,20.227712631225586,5.495386600494385,77.81480407714844,22.47649383544922,44.08509063720703,86.3149185180664,58.0440673828125,31.83595848083496,19.15999984741211
2010-01-07,68.67037200927734,20.220623016357422,5.484394550323486,77.81480407714844,22.196847915649414,44.606109619140625,86.67926025390625,57.905330657958984,31.714197158813477,19.059999465942383
2010-01-08,68.71015167236328,20.298648834228516,5.484394550323486,77.81480407714844,22.17936897277832,44.85173034667969,86.96770477294922,58.34138870239258,31.921897888183594,18.1299991607666
2010-01-11,68.65711212158203,20.327009201049805,5.511871814727783,77.81480407714844,22.10945701599121,44.59867858886719,87.08917236328125,58.29514694213867,32.02216720581055,17.549999237060547
2010-01-12,69.09459686279297,20.256074905395508,5.456918239593506,77.81480407714844,21.637557983398438,44.06276321411133,86.27696990966797,57.37672805786133,31.664060592651367,18.25
2010-01-13,68.802978515625,20.30573081970215,5.484394550323486,77.84874725341797,21.6550350189209,44.72520065307617,87.00567626953125,57.667457580566406,31.90758514404297,17.850000381469727
2010-01-14,68.98188018798828,20.376657485961914,5.500881671905518,77.83177185058594,21.54142951965332,44.9112663269043,87.2409439086914,57.82600784301758,31.993511199951172,17.6299991607666
2010-01-15,69.11446380615234,20.270273208618164,5.473404884338379,77.83177185058594,21.29673957824707,44.33072280883789,86.26176452636719,57.3569221496582,31.642574310302734,17.90999984741211
2010-01-19,69.00179290771484,20.348295211791992,5.522863388061523,77.83177185058594,21.43656349182129,45.179222106933594,87.33963775634766,57.892093658447266,32.0150032043457,17.579999923706055
2010-01-20,69.18073272705078,20.20643424987793,5.4788994789123535,77.83177185058594,21.034570693969727,44.53169631958008,86.45153045654297,56.9406852722168,31.37758445739746,18.68000030517578
2010-01-21,69.20065307617188,20.085866928100586,5.434936046600342,77.83177185058594,20.772403717041016,43.81714630126953,84.7891616821289,55.82404327392578,30.682838439941406,22.270000457763672
2010-01-22,69.24040222167969,19.9156494140625,5.368992328643799,77.83177185058594,20.553932189941406,42.976097106933594,82.8990707397461,54.4761848449707,30.052570343017578,27.309999465942383
2010-01-25,69.2337875366211,19.929832458496094,5.368992328643799,77.84874725341797,20.65005874633789,43.08028793334961,83.32410430908203,54.89242172241211,30.281747817993164,25.40999984741211
2010-01-26,69.3199462890625,19.88018226623535,5.368992328643799,77.84874725341797,20.422847747802734,42.670921325683594,82.97496032714844,54.542240142822266,30.131359100341797,24.549999237060547
2010-01-27,69.2669448852539,19.9156494140625,5.358001232147217,77.86572265625,20.12572479248047,43.08028793334961,83.36970520019531,54.21851348876953,30.02391815185547,23.139999389648438
2010-01-28,69.20724487304688,19.795074462890625,5.330524444580078,77.84874725341797,20.055814743041992,42.380645751953125,82.41324615478516,53.683311462402344,29.57986068725586,23.729999542236328
2010-01-29,69.3663558959961,19.724145889282227,5.336020469665527,77.86572265625,19.828603744506836,42.00104904174805,81.51749420166016,52.72528076171875,29.286216735839844,24.6200008392334
2010-02-01,69.27125549316406,19.830537796020508,5.341516017913818,77.84874725341797,20.309240341186523,42.4699592590332,82.78520202636719,54.3176155090332,29.880678176879883,22.59000015258789
2010-02-02,69.35103607177734,19.944015502929688,5.352506637573242,77.83177185058594,20.746187210083008,42.92399978637695,83.78718566894531,55.196372985839844,30.339073181152344,21.479999542236328
2010-02-03,69.22471618652344,19.873090744018555,5.347010612487793,77.86572265625,20.492759704589844,42.559268951416016,83.36970520019531,54.66779708862305,30.081218719482422,21.600000381469727
2010-02-04,69.39097595214844,19.568113327026367,5.303047180175781,77.86572265625,19.811124801635742,41.137657165527344,80.79639434814453,52.368507385253906,29.014041900634766,26.079999923706055
2010-02-05,69.41755676269531,19.568113327026367,5.259084701538086,77.86572265625,19.557693481445312,41.3162956237793,80.96341705322266,52.2760009765625,28.763370513916016,26.110000610351562
2010-02-08,69.550537109375,19.504283905029297,5.253589153289795,77.86572265625,19.56643295288086,40.854835510253906,80.37895202636719,51.86634063720703,28.577167510986328,26.510000228881836
2010-02-09,69.4241714477539,19.653223037719727,5.259084701538086,77.86572265625,19.915992736816406,41.413047790527344,81.38848114013672,52.936710357666016,29.193096160888672,26.0
2010-02-10,69.26461791992188,19.575210571289062,5.248093605041504,77.86572265625,19.99464225769043,41.48003387451172,81.22905731201172,52.7583122253418,29.03553581237793,25.399999618530273
2010-02-11,69.15153503417969,19.63904571533203,5.270074844360352,77.86572265625,20.2305908203125,42.075477600097656,82.07923126220703,53.67672348022461,29.415138244628906,23.959999084472656
2010-02-12,69.16490936279297,19.64613914489746,5.292056083679199,77.86572265625,20.116985321044922,42.39552307128906,82.01091003417969,53.55778884887695,29.23607635498047,22.729999542236328
2010-02-16,69.33773040771484,19.82344627380371,5.281066417694092,77.86572265625,20.728710174560547,43.191925048828125,83.30133819580078,54.85279083251953,29.83770751953125,22.25
2010-02-17,69.12503051757812,19.830537796020508,5.319533348083496,77.81480407714844,20.623844146728516,43.48965835571289,83.69609069824219,54.766902923583984,29.952295303344727,21.719999313354492
2010-02-18,69.098388671875,19.894365310668945,5.308542251586914,77.84874725341797,20.80735969543457,43.936241149902344,84.18949127197266,55.090660095214844,30.124197006225586,20.6299991607666
