,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown
Historical MVO,0.4387528541552479,0.12515465767814882,0.09388063045082962,1.0953409048402023,-0.06692478117153944
Equal Weight,0.4387528541552479,0.12515465767814882,0.09388063045082962,1.0953409048402023,-0.06692478117153944
Vol Forecast MVO,0.381882194550627,0.11054092412748306,0.08473434618730039,1.0493814964406774,-0.08555633739491963
Return Forecast MVO,0.2127115746304964,0.06451192059795452,0.029505529668110455,1.465265566924905,-0.013851218941726695
Hybrid Forecast MVO,0.17884705163608383,0.054783643944590565,0.031143509756282314,1.0936567145169267,-0.023430021494991182
Hybrid PPO,0.26335304006840543,0.07621871140223457,0.1629386039936391,0.3450300298659075,-0.23712376668449153
